Product Name,Category,SKU,Filling,Weight,Customer Price,,,,,,,,
King/Super King 270 x 240cms 535 gms - SILVER BLANKET,SILVER BLANKET,WALTER124,Silver Blanket,,$81.00,,,,,,,,
Single/ King Single 180 x 230gms 300gms - SILVER BLANKET,SILVER BLANKET,WALTER125,Silver Blanket,,$56.00,,,,,,,,
Double/Queen 230 x 240cms 450gms - KHAKI BLANKET,KHAKI BLANKET,WALTER126,Khaki Blanket,,$70.00,,,,,,,,
King/Super King 270 x 240cms 535 gms - KHAKI BLANKET,KHAKI BLANKET,WALTER127,Khaki Blanket,,$81.00,,,,,,,,
Single/ King Single 180 x 230gms 300gms - KHAKI BLANKET,KHAKI BLANKET,WALTER128,Khaki Blanket,,$56.00,,,,,,,,
EXTRA LARGE - MEN JACKET,JACKETS,WALTER129,JACKETS,,,,,,,,,,
LARGE - MEN JACKET,JACKETS,WALTER130,JACKETS,,,,,,,,,,
MEDIUM - MEN JACKET,JACKETS,WALTER131,JACKETS,,,,,,,,,,
SMALL - MEN JACKET,JACKETS,WALTER132,JACKETS,,,,,,,,,,
EXTRA LARGE - WOMAN JACKET,JACKETS,WALTER133,JACKETS,,,,,,,,,,
LARGE - WOMAN JACKET,JACKETS,WALTER134,JACKETS,,,,,,,,,,
MEDIUM - WOMAN JACKET,JACKETS,WALTER135,JACKETS,,,,,,,,,,
SMALL - WOMAN JACKET,JACKETS,WALTER136,JACKETS,,,,,,,,,,
