Product Name,SKU,Category,Filling,Weight,Customer Price,,,,,,,
45X70CM,HLC153,INSERTS,30% Down 70% Feather,Normal,$36.70,,,,,,,
45X70CM,HLC154,INSERTS,30% Down 70% Feather,Firm Fill,39.3,,,,,,,
45X70CM,HLC155,INSERTS,30% Down 70% Feather,Extra Firm Fill,41.9,,,,,,,
45X70CM,HLC156,INSERTS,50% Down 50% Feather,Normal,$52.15,,,,,,,
45X70CM,HLC157,INSERTS,50% Down 50% Feather,Firm Fill,54.75,,,,,,,
45X70CM,HLC158,INSERTS,50% Down 50% Feather,Extra Firm Fill,57.35,,,,,,,
45X70CM,HLC159,INSERTS,80% Down 20% Feather,Normal,$73.00,,,,,,,
45X70CM,HLC160,INSERTS,80% Down 20% Feather,Firm Fill,75.6,,,,,,,
45X70CM,HLC161,INSERTS,80% Down 20% Feather,Extra Firm Fill,78.2,,,,,,,
50X110CM,HLC162,PFH125,100% Feather,Normal,$50.00,,,,,,,
50X110CM,HLC163,PFH126,100% Feather,Firm Fill,$50.60,,,,,,,
50X110CM,HLC164,PFH127,100% Feather,Extra Firm Fill,$51.80,,,,,,,
50X110CM,HLC165,PFH128,Duck Feather - Foam,Normal,$50.00,,,,,,,
50X110CM,HLC166,PFH129,Duck Feather - Foam,Firm Fill,$50.60,,,,,,,
50X110CM,HLC167,PFH130,Duck Feather - Foam,Extra Firm Fill,$51.20,,,,,,,
50X110CM,HLC168,PFH131,Duck Feather - Fibre,Normal,$50.00,,,,,,,
50X110CM,HLC169,PFH132,Duck Feather - Fibre,Firm Fill,$50.60,,,,,,,
50X110CM,HLC170,PFH133,Duck Feather - Fibre,Extra Firm Fill,$51.20,,,,,,,
50X110CM,HLC171,PFH134,100% Polyester,Normal,$46.00,,,,,,,
50X110CM,HLC172,PFH135,100% Polyester,Firm Fill,$46.60,,,,,,,
50X110CM,HLC173,PFH136,100% Polyester,Extra Firm Fill,$47.20,,,,,,,
50X110CM,HLC174,PFH137,30% Down 70% Feather,Normal,$95.00,,,,,,,
50X110CM,HLC175,PFH138,30% Down 70% Feather,Firm Fill,$96.00,,,,,,,
50X110CM,HLC176,PFH139,30% Down 70% Feather,Extra Firm Fill,96.6,,,,,,,
50X110CM,HLC177,PFH140,50% Down 50% Feather,Normal,$113.25,,,,,,,
50X110CM,HLC178,PFH141,50% Down 50% Feather,Firm Fill,$114.25,,,,,,,
50X110CM,HLC179,PFH142,50% Down 50% Feather,Extra Firm Fill,$114.85,,,,,,,
50X110CM,HLC180,PFH143,80% Down 20% Feather,Normal,$136.25,,,,,,,
50X110CM,HLC181,PFH144,80% Down 20% Feather,Firm Fill,$137.25,,,,,,,
50X110CM,HLC182,PFH145,80% Down 20% Feather,Extra Firm Fill,$137.85,,,,,,,
50X30CM,HLC183,INSERTS,100% Feather,Normal,$13.20,,,,,,,
50X30CM,HLC184,INSERTS,100% Feather,Firm Fill,13.8,,,,,,,
50X30CM,HLC185,INSERTS,100% Feather,Extra Firm Fill,14.4,,,,,,,
50X30CM,HLC186,INSERTS,Duck Feather - Foam,Normal,$15.00,,,,,,,
50X30CM,HLC187,INSERTS,Duck Feather - Foam,Firm Fill,15.6,,,,,,,
50X30CM,HLC188,INSERTS,Duck Feather - Foam,Extra Firm Fill,16.2,,,,,,,
50X30CM,HLC189,INSERTS,Duck Feather - Fibre,Normal,$15.00,,,,,,,
50X30CM,HLC190,INSERTS,Duck Feather - Fibre,Firm Fill,15.6,,,,,,,
50X30CM,HLC191,INSERTS,Duck Feather - Fibre,Extra Firm Fill,16.2,,,,,,,
50X30CM,HLC192,INSERTS,100% Polyester,Normal,$15.00,,,,,,,
50X30CM,HLC193,INSERTS,100% Polyester,Firm Fill,15.6,,,,,,,
50X30CM,HLC194,INSERTS,100% Polyester,Extra Firm Fill,16.2,,,,,,,
50X30CM,HLC195,INSERTS,30% Down 70% Feather,Normal,$23.00,,,,,,,
50X30CM,HLC196,INSERTS,30% Down 70% Feather,Firm Fill,25.6,,,,,,,
50X30CM,HLC197,INSERTS,30% Down 70% Feather,Extra Firm Fill,28.2,,,,,,,
50X30CM,HLC198,INSERTS,50% Down 50% Feather,Normal,$31.00,,,,,,,
50X30CM,HLC199,INSERTS,50% Down 50% Feather,Firm Fill,33.6,,,,,,,
50X30CM,HLC200,INSERTS,50% Down 50% Feather,Extra Firm Fill,36.2,,,,,,,
50X30CM,HLC201,INSERTS,80% Down 20% Feather,Normal,$48.00,,,,,,,
50X30CM,HLC202,INSERTS,80% Down 20% Feather,Firm Fill,50.6,,,,,,,
50X30CM,HLC203,INSERTS,80% Down 20% Feather,Extra Firm Fill,53.2,,,,,,,
50X50CM,HLC204,INSERTS,100% Feather,Normal,$11.50,,,,,,,
50X50CM,HLC205,INSERTS,100% Feather,Firm Fill,12.1,,,,,,,
50X50CM,HLC206,INSERTS,100% Feather,Extra Firm Fill,12.7,,,,,,,
50X50CM,HLC207,INSERTS,Duck Feather - Foam,Normal,$13.50,,,,,,,
50X50CM,HLC208,INSERTS,Duck Feather - Foam,Firm Fill,14.1,,,,,,,
50X50CM,HLC209,INSERTS,Duck Feather - Foam,Extra Firm Fill,14.7,,,,,,,
50X50CM,HLC210,INSERTS,Duck Feather - Fibre,Normal,$13.50,,,,,,,
50X50CM,HLC211,INSERTS,Duck Feather - Fibre,Firm Fill,14.1,,,,,,,
50X50CM,HLC212,INSERTS,Duck Feather - Fibre,Extra Firm Fill,14.7,,,,,,,
50X50CM,HLC213,INSERTS,100% Polyester,Normal,$13.50,,,,,,,
50X50CM,HLC214,INSERTS,100% Polyester,Firm Fill,14.1,,,,,,,
50X50CM,HLC215,INSERTS,100% Polyester,Extra Firm Fill,14.7,,,,,,,
50X50CM,HLC216,INSERTS,30% Down 70% Feather,Normal,$26.50,,,,,,,
50X50CM,HLC217,INSERTS,30% Down 70% Feather,Firm Fill,29.1,,,,,,,
50X50CM,HLC218,INSERTS,30% Down 70% Feather,Extra Firm Fill,31.7,,,,,,,
50X50CM,HLC219,INSERTS,50% Down 50% Feather,Normal,$45.00,,,,,,,
50X50CM,HLC220,INSERTS,50% Down 50% Feather,Firm Fill,47.6,,,,,,,
50X50CM,HLC221,INSERTS,50% Down 50% Feather,Extra Firm Fill,50.2,,,,,,,
50X50CM,HLC222,INSERTS,80% Down 20% Feather,Normal,$56.00,,,,,,,
50X50CM,HLC223,INSERTS,80% Down 20% Feather,Firm Fill,58.6,,,,,,,
50X50CM,HLC224,INSERTS,80% Down 20% Feather,Extra Firm Fill,61.2,,,,,,,
50X80CM,HLC225,INSERTS,100% Feather,Normal,$26.00,,,,,,,
50X80CM,HLC226,INSERTS,100% Feather,Firm Fill,28.6,,,,,,,
50X80CM,HLC227,INSERTS,100% Feather,Extra Firm Fill,31.2,,,,,,,
50X80CM,HLC228,INSERTS,Duck Feather - Foam,Normal,$32.75,,,,,,,
50X80CM,HLC229,INSERTS,Duck Feather - Foam,Firm Fill,26.6,,,,,,,
50X80CM,HLC230,INSERTS,Duck Feather - Foam,Extra Firm Fill,27.2,,,,,,,
50X80CM,HLC231,INSERTS,Duck Feather - Fibre,Normal,$32.75,,,,,,,
50X80CM,HLC232,INSERTS,Duck Feather - Fibre,Firm Fill,33.35,,,,,,,
50X80CM,HLC233,INSERTS,Duck Feather - Fibre,Extra Firm Fill,33.95,,,,,,,
50X80CM,HLC234,INSERTS,100% Polyester,Normal,$32.75,,,,,,,
50X80CM,HLC235,INSERTS,100% Polyester,Firm Fill,33.35,,,,,,,
50X80CM,HLC236,INSERTS,100% Polyester,Extra Firm Fill,33.95,,,,,,,
50X80CM,HLC237,INSERTS,30% Down 70% Feather,Normal,$58.60,,,,,,,
50X80CM,HLC238,INSERTS,30% Down 70% Feather,Firm Fill,61.2,,,,,,,
50X80CM,HLC239,INSERTS,30% Down 70% Feather,Extra Firm Fill,63.8,,,,,,,
50X80CM,HLC240,INSERTS,50% Down 50% Feather,Normal,$80.50,,,,,,,
50X80CM,HLC241,INSERTS,50% Down 50% Feather,Firm Fill,83.1,,,,,,,
50X80CM,HLC242,INSERTS,50% Down 50% Feather,Extra Firm Fill,85.7,,,,,,,
50X80CM,HLC243,INSERTS,80% Down 20% Feather,Normal,$95.00,,,,,,,
50X80CM,HLC244,INSERTS,80% Down 20% Feather,Firm Fill,97.6,,,,,,,
50X80CM,HLC245,INSERTS,80% Down 20% Feather,Extra Firm Fill,100.2,,,,,,,
50X90CM,HLC246,INSERTS,100% Feather,Normal,$29.30,,,,,,,
50X90CM,HLC247,INSERTS,100% Feather,Firm Fill,31.9,,,,,,,
50X90CM,HLC248,INSERTS,100% Feather,Extra Firm Fill,34.5,,,,,,,
50X90CM,HLC249,INSERTS,Duck Feather - Foam,Normal,$38.50,,,,,,,
50X90CM,HLC250,INSERTS,Duck Feather - Foam,Firm Fill,41.1,,,,,,,
50X90CM,HLC251,INSERTS,Duck Feather - Foam,Extra Firm Fill,43.7,,,,,,,
50X90CM,HLC252,INSERTS,Duck Feather - Fibre,Normal,$38.50,,,,,,,
50X90CM,HLC253,INSERTS,Duck Feather - Fibre,Firm Fill,29.9,,,,,,,
50X90CM,HLC254,INSERTS,Duck Feather - Fibre,Extra Firm Fill,30.5,,,,,,,
50X90CM,HLC255,INSERTS,100% Polyester,Normal,$38.50,,,,,,,
50X90CM,HLC256,INSERTS,100% Polyester,Firm Fill,29.9,,,,,,,
50X90CM,HLC257,INSERTS,100% Polyester,Extra Firm Fill,30.5,,,,,,,
50X90CM,HLC258,INSERTS,30% Down 70% Feather,Normal,$71.00,,,,,,,
50X90CM,HLC259,INSERTS,30% Down 70% Feather,Firm Fill,73.6,,,,,,,
50X90CM,HLC260,INSERTS,30% Down 70% Feather,Extra Firm Fill,76.2,,,,,,,
50X90CM,HLC261,INSERTS,50% Down 50% Feather,Normal,$92.55,,,,,,,
50X90CM,HLC262,INSERTS,50% Down 50% Feather,Firm Fill,95.15,,,,,,,
50X90CM,HLC263,INSERTS,50% Down 50% Feather,Extra Firm Fill,97.75,,,,,,,
50X90CM,HLC264,INSERTS,80% Down 20% Feather,Normal,$107.00,,,,,,,
50X90CM,HLC265,INSERTS,80% Down 20% Feather,Firm Fill,109.6,,,,,,,
50X90CM,HLC266,INSERTS,80% Down 20% Feather,Extra Firm Fill,112.2,,,,,,,
55X55CM,HLC267,INSERTS,100% Feather,Normal,$12.00,,,,,,,
55X55CM,HLC268,INSERTS,100% Feather,Firm Fill,12.6,,,,,,,
55X55CM,HLC269,INSERTS,100% Feather,Extra Firm Fill,13.2,,,,,,,
55X55CM,HLC270,INSERTS,Duck Feather - Foam,Normal,$15.00,,,,,,,
55X55CM,HLC271,INSERTS,Duck Feather - Foam,Firm Fill,15.6,,,,,,,
55X55CM,HLC272,INSERTS,Duck Feather - Foam,Extra Firm Fill,16.2,,,,,,,
55X55CM,HLC273,INSERTS,Duck Feather - Fibre,Normal,$15.00,,,,,,,
55X55CM,HLC274,INSERTS,Duck Feather - Fibre,Firm Fill,15.6,,,,,,,
55X55CM,HLC275,INSERTS,Duck Feather - Fibre,Extra Firm Fill,16.2,,,,,,,
55X55CM,HLC276,INSERTS,100% Polyester,Normal,$15.00,,,,,,,
55X55CM,HLC277,INSERTS,100% Polyester,Firm Fill,15.6,,,,,,,
55X55CM,HLC278,INSERTS,100% Polyester,Extra Firm Fill,16.2,,,,,,,
55X55CM,HLC279,INSERTS,30% Down 70% Feather,Normal,$30.25,,,,,,,
55X55CM,HLC280,INSERTS,30% Down 70% Feather,Firm Fill,32.85,,,,,,,
55X55CM,HLC281,INSERTS,30% Down 70% Feather,Extra Firm Fill,35.45,,,,,,,
55X55CM,HLC282,INSERTS,50% Down 50% Feather,Normal,$45.10,,,,,,,
55X55CM,HLC283,INSERTS,50% Down 50% Feather,Firm Fill,47.7,,,,,,,
55X55CM,HLC284,INSERTS,50% Down 50% Feather,Extra Firm Fill,50.3,,,,,,,
55X55CM,HLC285,INSERTS,80% Down 20% Feather,Normal,$65.00,,,,,,,
55X55CM,HLC286,INSERTS,80% Down 20% Feather,Firm Fill,67.6,,,,,,,
55X55CM,HLC287,INSERTS,80% Down 20% Feather,Extra Firm Fill,70.2,,,,,,,
60X40CM,HLC288,INSERTS,100% Feather,Normal,$15.50,,,,,,,
60X40CM,HLC289,INSERTS,100% Feather,Firm Fill,16.1,,,,,,,
60X40CM,HLC290,INSERTS,100% Feather,Extra Firm Fill,16.7,,,,,,,
60X40CM,HLC291,INSERTS,Duck Feather - Foam,Normal,$17.50,,,,,,,
60X40CM,HLC292,INSERTS,Duck Feather - Foam,Firm Fill,18.1,,,,,,,
60X40CM,HLC293,INSERTS,Duck Feather - Foam,Extra Firm Fill,18.7,,,,,,,
60X40CM,HLC294,INSERTS,Duck Feather - Fibre,Normal,$17.50,,,,,,,
