Product Name,Category,SKU,Filling,Weight, Customer Price 
60X40CM - (63X43CM),INSERTS,PFH263,50% Down 50% Feather,Normal,$49.00
60X40CM - (63X43CM),INSERTS,PFH264,50% Down 50% Feather,Firm Fill,$51.60
60X40CM - (63X43CM),INSERTS,PFH265,50% Down 50% Feather,Extra Firm Fill,$54.20
60X40CM - (63X43CM),INSERTS,PFH266,80% Down 20% Feather,Normal,$60.00
60X40CM - (63X43CM),INSERTS,PFH267,80% Down 20% Feather,Firm Fill,$62.60
60X40CM - (63X43CM),INSERTS,PFH268,80% Down 20% Feather,Extra Firm Fill,$65.20
60X60CM - (63X63CM),INSERTS,PFH269,100% Feather,Normal,$15.00
60X60CM - (63X63CM),INSERTS,PFH270,100% Feather,Firm Fill,$15.60
60X60CM - (63X63CM),INSERTS,PFH271,100% Feather,Extra Firm Fill,$16.20
60X60CM - (63X63CM),INSERTS,PFH272,Duck Feather - Foam,Normal,$17.25
60X60CM - (63X63CM),INSERTS,PFH273,Duck Feather - Foam,Firm Fill,$17.85
60X60CM - (63X63CM),INSERTS,PFH274,Duck Feather - Foam,Extra Firm Fill,$18.45
60X60CM - (63X63CM),INSERTS,PFH275,Duck Feather - Fibre,Normal,$17.25
60X60CM - (63X63CM),INSERTS,PFH276,Duck Feather - Fibre,Firm Fill,$17.85
60X60CM - (63X63CM),INSERTS,PFH277,Duck Feather - Fibre,Extra Firm Fill,$18.45
60X60CM - (63X63CM),INSERTS,PFH278,100% Polyester,Normal,$17.25
60X60CM - (63X63CM),INSERTS,PFH279,100% Polyester,Firm Fill,$17.85
60X60CM - (63X63CM),INSERTS,PFH280,100% Polyester,Extra Firm Fill,$18.45
60X60CM - (63X63CM),INSERTS,PFH281,30% Down 70% Feather,Normal,$39.00
60X60CM - (63X63CM),INSERTS,PFH282,30% Down 70% Feather,Firm Fill,$41.60
60X60CM - (63X63CM),INSERTS,PFH283,30% Down 70% Feather,Extra Firm Fill,$44.20
60X60CM - (63X63CM),INSERTS,PFH284,50% Down 50% Feather,Normal,$64.40
60X60CM - (63X63CM),INSERTS,PFH285,50% Down 50% Feather,Firm Fill,$67.00
60X60CM - (63X63CM),INSERTS,PFH286,50% Down 50% Feather,Extra Firm Fill,$69.60
60X60CM - (63X63CM),INSERTS,PFH287,80% Down 20% Feather,Normal,$79.00
60X60CM - (63X63CM),INSERTS,PFH288,80% Down 20% Feather,Firm Fill,$81.60
60X60CM - (63X63CM),INSERTS,PFH289,80% Down 20% Feather,Extra Firm Fill,$84.20
65X40CM - (68X43CM),INSERTS,PFH290,100% Feather,Normal,$16.50
65X40CM - (68X43CM),INSERTS,PFH291,100% Feather,Firm Fill,$17.10
65X40CM - (68X43CM),INSERTS,PFH292,100% Feather,Extra Firm Fill,$17.70
65X40CM - (68X43CM),INSERTS,PFH293,Duck Feather - Foam,Normal,$18.50
65X40CM - (68X43CM),INSERTS,PFH294,Duck Feather - Foam,Firm Fill,$19.10
65X40CM - (68X43CM),INSERTS,PFH295,Duck Feather - Foam,Extra Firm Fill,$19.70
65X40CM - (68X43CM),INSERTS,PFH296,Duck Feather - Fibre,Normal,$18.50
65X40CM - (68X43CM),INSERTS,PFH297,Duck Feather - Fibre,Firm Fill,$19.10
65X40CM - (68X43CM),INSERTS,PFH298,Duck Feather - Fibre,Extra Firm Fill,$19.70
65X40CM - (68X43CM),INSERTS,PFH299,100% Polyester,Normal,$18.50
65X40CM - (68X43CM),INSERTS,PFH300,100% Polyester,Firm Fill,$19.10
65X40CM - (68X43CM),INSERTS,PFH301,100% Polyester,Extra Firm Fill,$19.70
65X40CM - (68X43CM),INSERTS,PFH302,30% Down 70% Feather,Normal,$31.50
65X40CM - (68X43CM),INSERTS,PFH303,30% Down 70% Feather,Firm Fill,$34.10
65X40CM - (68X43CM),INSERTS,PFH304,30% Down 70% Feather,Extra Firm Fill,$36.70
65X40CM - (68X43CM),INSERTS,PFH305,50% Down 50% Feather,Normal,$50.00
