Product Name,Category,,Filling,Weight, Customer Price ,,,,,,,,,
King/Super King 270 x 240cms 535 gms - SILVER BLANKET,SILVER BLANKET,SC126,Silver Blanket,,$81.00,,,,,,,,,
Single/ King Single 180 x 230gms 300gms - SILVER BLANKET,SILVER BLANKET,SC127,Silver Blanket,,$56.00,,,,,,,,,
Double/Queen 230 x 240cms 450gms - KHAKI BLANKET,KHAKI BLANKET,SC128,Khaki Blanket,,$70.00,,,,,,,,,
King/Super King 270 x 240cms 535 gms - KHAKI BLANKET,KHAKI BLANKET,SC129,Khaki Blanket,,$81.00,,,,,,,,,
Single/ King Single 180 x 230gms 300gms - KHAKI BLANKET,KHAKI BLANKET,SC130,Khaki Blanket,,$56.00,,,,,,,,,
EXTRA LARGE - MEN JACKET,JACKETS,SC131,JACKETS,,,,,,,,,,,
LARGE - MEN JACKET,JACKETS,SC132,JACKETS,,,,,,,,,,,
MEDIUM - MEN JACKET,JACKETS,SC133,JACKETS,,,,,,,,,,,
SMALL - MEN JACKET,JACKETS,SC134,JACKETS,,,,,,,,,,,
EXTRA LARGE - WOMAN JACKET,JACKETS,SC135,JACKETS,,,,,,,,,,,
LARGE - WOMAN JACKET,JACKETS,SC136,JACKETS,,,,,,,,,,,
MEDIUM - WOMAN JACKET,JACKETS,SC137,JACKETS,,,,,,,,,,,
SMALL - WOMAN JACKET,JACKETS,SC138,JACKETS,,,,,,,,,,,
