Product Name,Category,,Filling,Weight, Customer Price ,,,,,,,,,,
SINGLE - 80% GOOSE SUMMER,80% GOOSE SUMMER FILLED,BR136,Goose,,$114.50,,,,,,,,,,
DOUBLE - 80% GOOSE SUMMER,80% GOOSE SUMMER FILLED,BR137,Goose,,$140.00,,,,,,,,,,
QUEEN - 80% GOOSE SUMMER,80% GOOSE SUMMER FILLED,BR138,Goose,,$164.00,,,,,,,,,,
KING - 80% GOOSE SUMMER,80% GOOSE SUMMER FILLED,BR139,Goose,,$177.00,,,,,,,,,,
SUPER KING - 80% GOOSE SUMMER,80% GOOSE SUMMER FILLED,BR140,Goose,,$274.00,,,,,,,,,,
STANDARD CHAMBER PILLOW - 80% DUCK DOWN,CHAMBER PILLOW,BR141,Duck,,46,,,,,,,,,,
KING 80% CHAMBER PILLOW,CHAMBER PILLOW,BR142,Duck,,,,,,,,,,,,
STANDARD CHAMBER PILLOW - 50% DUCK DOWN,CHAMBER PILLOW,BR143,Duck,,37,,,,,,,,,,
KING 50% CHAMBER PILLOW,CHAMBER PILLOW,BR144,Duck,,,,,,,,,,,,
STANDARD PILLOW - 80% HUNGARIAN PILLOW,STRIP PILLOW,BR145,Hungarian,,123.5,,,,,,,,,,
KING PILLOW - 80% HUNGARIAN PILLOW,STRIP PILLOW,BR146,Hungarian,,,,,,,,,,,,
SINGLE - HUNGARIAN STRIPPED QUILT,STRIPPED QUILT,BR147,Hungarian,,$201.50,,,,,,,,,,
DOUBLE - HUNGARIAN STRIPPED QUILT,STRIPPED QUILT,BR148,Hungarian,,$251.00,,,,,,,,,,
QUEEN - HUNGARIAN STRIPPED QUILT,STRIPPED QUILT,BR149,Hungarian,,$294.00,,,,,,,,,,
KING - HUNGARIAN STRIPPED QUILT,STRIPPED QUILT,BR150,Hungarian,,$345.00,,,,,,,,,,
SUPER KING - HUNGARIAN STRIPPED QUILT,STRIPPED QUILT,BR151,Hungarian,,$437.00,,,,,,,,,,
Double/Queen 230 x 240cms 450gms - SILVER BLANKET,SILVER BLANKET,BR152,Silver Blanket,,$70.00,,,,,,,,,,
King/Super King 270 x 240cms 535 gms - SILVER BLANKET,SILVER BLANKET,BR153,Silver Blanket,,$81.00,,,,,,,,,,
Single/ King Single 180 x 230gms 300gms - SILVER BLANKET,SILVER BLANKET,BR154,Silver Blanket,,$56.00,,,,,,,,,,
Double/Queen 230 x 240cms 450gms - KHAKI BLANKET,KHAKI BLANKET,BR155,Khaki Blanket,,$70.00,,,,,,,,,,
King/Super King 270 x 240cms 535 gms - KHAKI BLANKET,KHAKI BLANKET,BR156,Khaki Blanket,,$81.00,,,,,,,,,,
Single/ King Single 180 x 230gms 300gms - KHAKI BLANKET,KHAKI BLANKET,BR157,Khaki Blanket,,$56.00,,,,,,,,,,
EXTRA LARGE - MEN JACKET,JACKETS,BR158,JACKETS,,,,,,,,,,,,
LARGE - MEN JACKET,JACKETS,BR159,JACKETS,,,,,,,,,,,,
MEDIUM - MEN JACKET,JACKETS,BR160,JACKETS,,,,,,,,,,,,
SMALL - MEN JACKET,JACKETS,BR161,JACKETS,,,,,,,,,,,,
EXTRA LARGE - WOMAN JACKET,JACKETS,BR162,JACKETS,,,,,,,,,,,,
LARGE - WOMAN JACKET,JACKETS,BR163,JACKETS,,,,,,,,,,,,
MEDIUM - WOMAN JACKET,JACKETS,BR164,JACKETS,,,,,,,,,,,,
SMALL - WOMAN JACKET,JACKETS,BR165,JACKETS,,,,,,,,,,,,
