Product Name,Category,SKU,Filling,Weight,Customer Price,,,
50X50CM,INSERTS,JB184,80% Down 20% Feather,Normal,$56.00,,,
50X50CM,INSERTS,JB185,80% Down 20% Feather,Firm Fill,58.6,,,
50X50CM,INSERTS,JB186,80% Down 20% Feather,Extra Firm Fill,61.2,,,
50X80CM,INSERTS,JB187,100% Feather,Normal,$26.00,,,
50X80CM,INSERTS,JB188,100% Feather,Firm Fill,28.6,,,
50X80CM,INSERTS,JB189,100% Feather,Extra Firm Fill,31.2,,,
50X80CM,INSERTS,JB190,Duck Feather - Foam,Normal,$32.75,,,
50X80CM,INSERTS,JB191,Duck Feather - Foam,Firm Fill,26.6,,,
50X80CM,INSERTS,JB192,Duck Feather - Foam,Extra Firm Fill,27.2,,,
50X80CM,INSERTS,JB193,Duck Feather - Fibre,Normal,$32.75,,,
50X80CM,INSERTS,JB194,Duck Feather - Fibre,Firm Fill,33.35,,,
50X80CM,INSERTS,JB195,Duck Feather - Fibre,Extra Firm Fill,33.95,,,
50X80CM,INSERTS,JB196,100% Polyester,Normal,$32.75,,,
50X80CM,INSERTS,JB197,100% Polyester,Firm Fill,33.35,,,
50X80CM,INSERTS,JB198,100% Polyester,Extra Firm Fill,33.95,,,
50X80CM,INSERTS,JB199,30% Down 70% Feather,Normal,$58.60,,,
50X80CM,INSERTS,JB200,30% Down 70% Feather,Firm Fill,61.2,,,
50X80CM,INSERTS,JB201,30% Down 70% Feather,Extra Firm Fill,63.8,,,
50X80CM,INSERTS,JB202,50% Down 50% Feather,Normal,$80.50,,,
50X80CM,INSERTS,JB203,50% Down 50% Feather,Firm Fill,83.1,,,
50X80CM,INSERTS,JB204,50% Down 50% Feather,Extra Firm Fill,85.7,,,
50X80CM,INSERTS,JB205,80% Down 20% Feather,Normal,$95.00,,,
50X80CM,INSERTS,JB206,80% Down 20% Feather,Firm Fill,97.6,,,
50X80CM,INSERTS,JB207,80% Down 20% Feather,Extra Firm Fill,100.2,,,
50X90CM,INSERTS,JB208,100% Feather,Normal,$29.30,,,
50X90CM,INSERTS,JB209,100% Feather,Extra Firm Fill,31.9,,,
50X90CM,INSERTS,JB210,Duck Feather - Foam,Normal,$38.50,,,
50X90CM,INSERTS,JB211,Duck Feather - Foam,Firm Fill,41.1,,,
50X90CM,INSERTS,JB212,Duck Feather - Foam,Extra Firm Fill,43.7,,,
50X90CM,INSERTS,JB213,Duck Feather - Fibre,Normal,$38.50,,,
50X90CM,INSERTS,JB214,Duck Feather - Fibre,Firm Fill,29.9,,,
50X90CM,INSERTS,JB215,Duck Feather - Fibre,Extra Firm Fill,30.5,,,
50X90CM,INSERTS,JB216,100% Polyester,Normal,$38.50,,,
50X90CM,INSERTS,JB217,100% Polyester,Firm Fill,29.9,,,
50X90CM,INSERTS,JB218,100% Polyester,Extra Firm Fill,30.5,,,
50X90CM,INSERTS,JB219,30% Down 70% Feather,Normal,$71.00,,,
50X90CM,INSERTS,JB220,30% Down 70% Feather,Firm Fill,73.6,,,
50X90CM,INSERTS,JB221,30% Down 70% Feather,Extra Firm Fill,76.2,,,
50X90CM,INSERTS,JB222,50% Down 50% Feather,Normal,$92.55,,,
50X90CM,INSERTS,JB223,50% Down 50% Feather,Firm Fill,95.15,,,
50X90CM,INSERTS,JB224,50% Down 50% Feather,Extra Firm Fill,97.75,,,
50X90CM,INSERTS,JB225,80% Down 20% Feather,Normal,$107.00,,,
50X90CM,INSERTS,JB226,80% Down 20% Feather,Firm Fill,109.6,,,
50X90CM,INSERTS,JB227,80% Down 20% Feather,Extra Firm Fill,112.2,,,
55X55CM,INSERTS,JB228,100% Feather,Normal,$12.00,,,
55X55CM,INSERTS,JB229,100% Feather,Firm Fill,12.6,,,
55X55CM,INSERTS,JB230,100% Feather,Extra Firm Fill,13.2,,,
55X55CM,INSERTS,JB231,Duck Feather - Foam,Normal,$15.00,,,
55X55CM,INSERTS,JB232,Duck Feather - Foam,Firm Fill,15.6,,,
55X55CM,INSERTS,JB233,Duck Feather - Foam,Extra Firm Fill,16.2,,,
55X55CM,INSERTS,JB234,Duck Feather - Fibre,Normal,$15.00,,,
55X55CM,INSERTS,JB235,Duck Feather - Fibre,Firm Fill,15.6,,,
55X55CM,INSERTS,JB236,Duck Feather - Fibre,Extra Firm Fill,16.2,,,
55X55CM,INSERTS,JB237,100% Polyester,Normal,$15.00,,,
55X55CM,INSERTS,JB238,100% Polyester,Firm Fill,15.6,,,
55X55CM,INSERTS,JB239,100% Polyester,Extra Firm Fill,16.2,,,
55X55CM,INSERTS,JB240,30% Down 70% Feather,Normal,$30.25,,,
55X55CM,INSERTS,JB241,30% Down 70% Feather,Firm Fill,32.85,,,
55X55CM,INSERTS,JB242,30% Down 70% Feather,Extra Firm Fill,35.45,,,
55X55CM,INSERTS,JB243,50% Down 50% Feather,Normal,$45.10,,,
55X55CM,INSERTS,JB244,50% Down 50% Feather,Firm Fill,47.7,,,
