Product Name	Category	SKU	Filling	Weight	Customer Price
50X90CM	INSERTS	MW263	50% Down 50% Feather	Firm Fill	95.15
50X90CM	INSERTS	MW264	50% Down 50% Feather	Extra Firm Fill	97.75
50X90CM	INSERTS	MW265	80% Down 20% Feather	Normal	$107.00
50X90CM	INSERTS	MW266	80% Down 20% Feather	Firm Fill	109.6
50X90CM	INSERTS	MW267	80% Down 20% Feather	Extra Firm Fill	112.2
55X55CM	INSERTS	MW268	100% Feather	Normal	$12.00
55X55CM	INSERTS	MW269	100% Feather	Firm Fill	12.6
55X55CM	INSERTS	MW270	100% Feather	Extra Firm Fill	13.2
55X55CM	INSERTS	MW271	Duck Feather - Foam	Normal	$15.00
55X55CM	INSERTS	MW272	Duck Feather - Foam	Firm Fill	15.6
55X55CM	INSERTS	MW273	Duck Feather - Foam	Extra Firm Fill	16.2
55X55CM	INSERTS	MW274	Duck Feather - Fibre	Normal	$15.00
55X55CM	INSERTS	MW275	Duck Feather - Fibre	Firm Fill	15.6
55X55CM	INSERTS	MW276	Duck Feather - Fibre	Extra Firm Fill	16.2
55X55CM	INSERTS	MW277	100% Polyester	Normal	$15.00
55X55CM	INSERTS	MW278	100% Polyester	Firm Fill	15.6
55X55CM	INSERTS	MW279	100% Polyester	Extra Firm Fill	16.2
55X55CM	INSERTS	MW280	30% Down 70% Feather	Normal	$30.25
55X55CM	INSERTS	MW281	30% Down 70% Feather	Firm Fill	32.85
55X55CM	INSERTS	MW282	30% Down 70% Feather	Extra Firm Fill	35.45
55X55CM	INSERTS	MW283	50% Down 50% Feather	Normal	$45.10
55X55CM	INSERTS	MW284	50% Down 50% Feather	Firm Fill	47.7
55X55CM	INSERTS	MW285	50% Down 50% Feather	Extra Firm Fill	50.3
55X55CM	INSERTS	MW286	80% Down 20% Feather	Normal	$65.00
55X55CM	INSERTS	MW287	80% Down 20% Feather	Firm Fill	67.6
55X55CM	INSERTS	MW288	80% Down 20% Feather	Extra Firm Fill	70.2
60X40CM	INSERTS	MW289	100% Feather	Normal	$15.50
60X40CM	INSERTS	MW290	100% Feather	Firm Fill	16.1
60X40CM	INSERTS	MW291	100% Feather	Extra Firm Fill	16.7
60X40CM	INSERTS	MW292	Duck Feather - Foam	Normal	$17.50
60X40CM	INSERTS	MW293	Duck Feather - Foam	Firm Fill	18.1
60X40CM	INSERTS	MW294	Duck Feather - Foam	Extra Firm Fill	18.7
60X40CM	INSERTS	MW295	Duck Feather - Fibre	Normal	$17.50
60X40CM	INSERTS	MW296	Duck Feather - Fibre	Firm Fill	18.1
60X40CM	INSERTS	MW297	Duck Feather - Fibre	Extra Firm Fill	18.7
60X40CM	INSERTS	MW298	100% Polyester	Normal	$17.50
60X40CM	INSERTS	MW299	100% Polyester	Firm Fill	18.1
60X40CM	INSERTS	MW300	100% Polyester	Extra Firm Fill	18.7
60X40CM	INSERTS	MW301	30% Down 70% Feather	Normal	$30.50
60X40CM	INSERTS	MW302	30% Down 70% Feather	Firm Fill	33.1
60X40CM	INSERTS	MW303	30% Down 70% Feather	Extra Firm Fill	35.7
60X40CM	INSERTS	MW304	50% Down 50% Feather	Normal	$49.00
60X40CM	INSERTS	MW305	50% Down 50% Feather	Firm Fill	51.6
60X40CM	INSERTS	MW306	50% Down 50% Feather	Extra Firm Fill	54.2
60X40CM	INSERTS	MW307	80% Down 20% Feather	Normal	$60.00
60X40CM	INSERTS	MW308	80% Down 20% Feather	Firm Fill	62.6
60X40CM	INSERTS	MW309	80% Down 20% Feather	Extra Firm Fill	65.2
60X60CM	INSERTS	MW310	100% Feather	Normal	$15.00
60X60CM	INSERTS	MW311	100% Feather	Firm Fill	15.6
