Product Name,SKU,Category,Filling,Weight, Customer Price 
50X90CM ,INSE-010,INSERTS,Duck Feather - Foam,Extra Firm Fill,$43.70 
50X90CM ,INSE-010,INSERTS,Duck Feather - Fibre,Normal,$38.50 
50X90CM ,INSE-010,INSERTS,Duck Feather - Fibre,Firm Fill,$29.90 
50X90CM ,INSE-010,INSERTS,Duck Feather - Fibre,Extra Firm Fill,$30.50 
50X90CM ,INSE-010,INSERTS,100% Polyester,Normal,$38.50 
50X90CM ,INSE-010,INSERTS,100% Polyester,Firm Fill,$29.90 
50X90CM ,INSE-010,INSERTS,100% Polyester,Extra Firm Fill,$30.50 
50X90CM ,INSE-010,INSERTS,30% Down 70% Feather,Normal,$71.00 
50X90CM ,INSE-010,INSERTS,30% Down 70% Feather,Firm Fill,$73.60 
50X90CM ,INSE-010,INSERTS,30% Down 70% Feather,Extra Firm Fill,$76.20 
50X90CM ,INSE-010,INSERTS,50% Down 50% Feather,Normal,$92.55 
50X90CM ,INSE-010,INSERTS,50% Down 50% Feather,Firm Fill,$95.15 
50X90CM ,INSE-010,INSERTS,50% Down 50% Feather,Extra Firm Fill,$97.75 
50X90CM ,INSE-010,INSERTS,80% Down 20% Feather,Normal,$107.00 
50X90CM ,INSE-010,INSERTS,80% Down 20% Feather,Firm Fill,$109.60 
50X90CM ,INSE-010,INSERTS,80% Down 20% Feather,Extra Firm Fill,$112.20 
55X55CM ,INSE-011,INSERTS,100% Feather,Normal,$12.00 
55X55CM ,INSE-011,INSERTS,100% Feather,Firm Fill,$12.60 
55X55CM ,INSE-011,INSERTS,100% Feather,Extra Firm Fill,$13.20 
55X55CM ,INSE-011,INSERTS,Duck Feather - Foam,Normal,$15.00 
55X55CM ,INSE-011,INSERTS,Duck Feather - Foam,Firm Fill,$15.60 
55X55CM ,INSE-011,INSERTS,Duck Feather - Foam,Extra Firm Fill,$16.20 
55X55CM ,INSE-011,INSERTS,Duck Feather - Fibre,Normal,$15.00 
55X55CM ,INSE-011,INSERTS,Duck Feather - Fibre,Firm Fill,$15.60 
55X55CM ,INSE-011,INSERTS,Duck Feather - Fibre,Extra Firm Fill,$16.20 
55X55CM ,INSE-011,INSERTS,100% Polyester,Normal,$15.00 
55X55CM ,INSE-011,INSERTS,100% Polyester,Firm Fill,$15.60 
55X55CM ,INSE-011,INSERTS,100% Polyester,Extra Firm Fill,$16.20 
