Product Name,Category,Sku,Filling,Weight, Customer Price ,,
50X30CM,INSERTS,INTERIOR - 158,30% Down 70% Feather,Normal,$23.00,,
50X30CM,INSERTS,INTERIOR - 159,30% Down 70% Feather,Firm Fill,$25.60,,
50X30CM,INSERTS,INTERIOR - 160,30% Down 70% Feather,Extra Firm Fill,$28.20,,
50X30CM,INSERTS,INTERIOR - 161,50% Down 50% Feather,Normal,$31.00,,
50X30CM,INSERTS,INTERIOR - 162,50% Down 50% Feather,Firm Fill,$33.60,,
50X30CM,INSERTS,INTERIOR - 163,50% Down 50% Feather,Extra Firm Fill,$36.20,,
50X30CM,INSERTS,INTERIOR - 164,80% Down 20% Feather,Normal,$48.00,,
50X30CM,INSERTS,INTERIOR - 165,80% Down 20% Feather,Firm Fill,$50.60,,
50X30CM,INSERTS,INTERIOR - 166,80% Down 20% Feather,Extra Firm Fill,$53.20,,
50X50CM,INSERTS,INTERIOR - 167,100% Feather,Normal,$11.50,,
50X50CM,INSERTS,INTERIOR - 168,100% Feather,Firm Fill,$12.10,,
50X50CM,INSERTS,INTERIOR - 169,100% Feather,Extra Firm Fill,$12.70,,
50X50CM,INSERTS,INTERIOR - 170,Duck Feather - Foam,Normal,$13.50,,
