Product Name,SKU,Category,Category,Filling,Weight,
30X55CM ,INSE-001,INSERTS,INSERTS,50% Down 50% Feather,Firm Fill,
30X55CM ,INSE-001,INSERTS,INSERTS,50% Down 50% Feather,Extra Firm Fill,
30X55CM ,INSE-001,INSERTS,INSERTS,80% Down 20% Feather,Normal,
30X55CM ,INSE-001,INSERTS,INSERTS,80% Down 20% Feather,Firm Fill,
30X55CM ,INSE-001,INSERTS,INSERTS,80% Down 20% Feather,Extra Firm Fill,
40X40CM,INSE-002,INSERTS,INSERTS,100% Feather,Normal,
40X40CM,INSE-002,INSERTS,INSERTS,100% Feather,Firm Fill,
40X40CM,INSE-002,INSERTS,INSERTS,100% Feather,Extra Firm Fill,
40X40CM,INSE-002,INSERTS,INSERTS,Duck Feather - Foam,Normal,
40X40CM,INSE-002,INSERTS,INSERTS,Duck Feather - Foam,Firm Fill,
40X40CM,INSE-002,INSERTS,INSERTS,Duck Feather - Foam,Extra Firm Fill,
40X40CM,INSE-002,INSERTS,INSERTS,Duck Feather - Fibre,Normal,
40X40CM,INSE-002,INSERTS,INSERTS,Duck Feather - Fibre,Firm Fill,
40X40CM,INSE-002,INSERTS,INSERTS,Duck Feather - Fibre,Extra Firm Fill,
40X40CM,INSE-002,INSERTS,INSERTS,100% Polyester,Normal,
40X40CM,INSE-002,INSERTS,INSERTS,100% Polyester,Firm Fill,
40X40CM,INSE-002,INSERTS,INSERTS,100% Polyester,Extra Firm Fill,
40X40CM,INSE-002,INSERTS,INSERTS,30% Down 70% Feather,Normal,
40X40CM,INSE-002,INSERTS,INSERTS,30% Down 70% Feather,Firm Fill,
40X40CM,INSE-002,INSERTS,INSERTS,30% Down 70% Feather,Extra Firm Fill,
40X40CM,INSE-002,INSERTS,INSERTS,50% Down 50% Feather,Normal,
40X40CM,INSE-002,INSERTS,INSERTS,50% Down 50% Feather,Firm Fill,
40X40CM,INSE-002,INSERTS,INSERTS,50% Down 50% Feather,Extra Firm Fill,
40X40CM,INSE-002,INSERTS,INSERTS,80% Down 20% Feather,Normal,
40X40CM,INSE-002,INSERTS,INSERTS,80% Down 20% Feather,Firm Fill,
40X40CM,INSE-002,INSERTS,INSERTS,80% Down 20% Feather,Extra Firm Fill,
45X45CM ,INSE-003,INSERTS,INSERTS,100% Feather,Normal,
45X45CM ,INSE-003,INSERTS,INSERTS,100% Feather,Firm Fill,
45X45CM ,INSE-003,INSERTS,INSERTS,100% Feather,Extra Firm Fill,
45X45CM ,INSE-003,INSERTS,INSERTS,Duck Feather - Foam,Normal,
45X45CM ,INSE-003,INSERTS,INSERTS,Duck Feather - Foam,Firm Fill,
45X45CM ,INSE-003,INSERTS,INSERTS,Duck Feather - Foam,Extra Firm Fill,
45X45CM ,INSE-003,INSERTS,INSERTS,Duck Feather - Fibre,Normal,
45X45CM ,INSE-003,INSERTS,INSERTS,Duck Feather - Fibre,Firm Fill,
45X45CM ,INSE-003,INSERTS,INSERTS,Duck Feather - Fibre,Extra Firm Fill,
45X45CM ,INSE-003,INSERTS,INSERTS,100% Polyester,Normal,
45X45CM ,INSE-003,INSERTS,INSERTS,100% Polyester,Firm Fill,
45X45CM ,INSE-003,INSERTS,INSERTS,100% Polyester,Extra Firm Fill,
45X45CM ,INSE-003,INSERTS,INSERTS,30% Down 70% Feather,Normal,
45X45CM ,INSE-003,INSERTS,INSERTS,30% Down 70% Feather,Firm Fill,
