Product	Category	SKU	Filling	Weight	Price
50X30CM	INSERTS	POULOS174	100% Feather	Normal	$13.20
50X30CM	INSERTS	POULOS175	100% Polyester	Extra Firm Fill	$16.20
50X30CM	INSERTS	POULOS176	100% Polyester	Firm Fill	$15.60
50X30CM	INSERTS	POULOS177	100% Polyester	Normal	$15.00
50X30CM	INSERTS	POULOS178	30% Down 70% Feather	Extra Firm Fill	$28.20
50X30CM	INSERTS	POULOS179	30% Down 70% Feather	Firm Fill	$25.60
50X30CM	INSERTS	POULOS180	30% Down 70% Feather	Normal	$23.00
50X30CM	INSERTS	POULOS181	50% Down 50% Feather	Extra Firm Fill	$36.20
50X30CM	INSERTS	POULOS182	50% Down 50% Feather	Firm Fill	$33.60
50X30CM	INSERTS	POULOS183	50% Down 50% Feather	Normal	$31.00
50X30CM	INSERTS	POULOS184	80% Down 20% Feather	Extra Firm Fill	$53.20
50X30CM	INSERTS	POULOS185	80% Down 20% Feather	Firm Fill	$50.60
50X30CM	INSERTS	POULOS186	80% Down 20% Feather	Normal	$48.00
50X30CM	INSERTS	POULOS187	Duck Feather - Fibre	Extra Firm Fill	$16.20
50X30CM	INSERTS	POULOS188	Duck Feather - Fibre	Firm Fill	$15.60
50X30CM	INSERTS	POULOS189	Duck Feather - Fibre	Normal	$15.00
50X30CM	INSERTS	POULOS190	Duck Feather - Foam	Extra Firm Fill	$16.20
50X30CM	INSERTS	POULOS191	Duck Feather - Foam	Firm Fill	$15.60
50X30CM	INSERTS	POULOS192	Duck Feather - Foam	Normal	$15.00
50X50CM	INSERTS	POULOS193	100% Feather	Extra Firm Fill	$12.70
50X50CM	INSERTS	POULOS194	100% Feather	Firm Fill	$12.10
50X50CM	INSERTS	POULOS195	100% Feather	Normal	$11.50
50X50CM	INSERTS	POULOS196	100% Polyester	Extra Firm Fill	$14.70
50X50CM	INSERTS	POULOS197	100% Polyester	Firm Fill	$14.10
50X50CM	INSERTS	POULOS198	100% Polyester	Normal	$13.50
50X50CM	INSERTS	POULOS199	30% Down 70% Feather	Extra Firm Fill	$31.70
50X50CM	INSERTS	POULOS200	30% Down 70% Feather	Firm Fill	$29.10
50X50CM	INSERTS	POULOS201	30% Down 70% Feather	Normal	$26.50
50X50CM	INSERTS	POULOS202	50% Down 50% Feather	Extra Firm Fill	$50.20
50X50CM	INSERTS	POULOS203	50% Down 50% Feather	Firm Fill	$47.60
50X50CM	INSERTS	POULOS204	50% Down 50% Feather	Normal	$45.00
50X50CM	INSERTS	POULOS205	80% Down 20% Feather	Extra Firm Fill	$61.20
50X50CM	INSERTS	POULOS206	80% Down 20% Feather	Firm Fill	$58.60
50X50CM	INSERTS	POULOS207	80% Down 20% Feather	Normal	$56.00
50X50CM	INSERTS	POULOS208	Duck Feather - Fibre	Extra Firm Fill	$14.70
50X50CM	INSERTS	POULOS209	Duck Feather - Fibre	Firm Fill	$14.10
50X50CM	INSERTS	POULOS210	Duck Feather - Fibre	Normal	$13.50
50X50CM	INSERTS	POULOS211	Duck Feather - Foam	Extra Firm Fill	$14.70
50X50CM	INSERTS	POULOS212	Duck Feather - Foam	Firm Fill	$14.10
50X50CM	INSERTS	POULOS213	Duck Feather - Foam	Normal	$13.50
50X80CM	INSERTS	POULOS214	100% Feather	Extra Firm Fill	$31.20
50X80CM	INSERTS	POULOS215	100% Feather	Firm Fill	$28.60
50X80CM	INSERTS	POULOS216	100% Feather	Normal	$26.00
