Product Name,Category,,Filling,Weight, Customer Price ,,
60X60CM,INSERTS,PFH282,30% Down 70% Feather,Firm Fill,$41.60,,
60X60CM,INSERTS,PFH283,30% Down 70% Feather,Extra Firm Fill,$44.20,,
60X60CM,INSERTS,PFH284,50% Down 50% Feather,Normal,$64.40,,
60X60CM,INSERTS,PFH285,50% Down 50% Feather,Firm Fill,$67.00,,
60X60CM,INSERTS,PFH286,50% Down 50% Feather,Extra Firm Fill,$69.60,,
60X60CM,INSERTS,PFH287,80% Down 20% Feather,Normal,$79.00,,
60X60CM,INSERTS,PFH288,80% Down 20% Feather,Firm Fill,$81.60,,
60X60CM,INSERTS,PFH289,80% Down 20% Feather,Extra Firm Fill,$84.20,,
65X40CM,INSERTS,PFH290,100% Feather,Normal,$16.50,,
65X40CM,INSERTS,PFH291,100% Feather,Firm Fill,$17.10,,
65X40CM,INSERTS,PFH292,100% Feather,Extra Firm Fill,$17.70,,
65X40CM,INSERTS,PFH293,Duck Feather - Foam,Normal,$18.50,,
65X40CM,INSERTS,PFH294,Duck Feather - Foam,Firm Fill,$19.10,,
65X40CM,INSERTS,PFH295,Duck Feather - Foam,Extra Firm Fill,$19.70,,
65X40CM,INSERTS,PFH296,Duck Feather - Fibre,Normal,$18.50,,
65X40CM,INSERTS,PFH297,Duck Feather - Fibre,Firm Fill,$19.10,,
65X40CM,INSERTS,PFH298,Duck Feather - Fibre,Extra Firm Fill,$19.70,,
65X40CM,INSERTS,PFH299,100% Polyester,Normal,$18.50,,
65X40CM,INSERTS,PFH300,100% Polyester,Firm Fill,$19.10,,
65X40CM,INSERTS,PFH301,100% Polyester,Extra Firm Fill,$19.70,,
65X40CM,INSERTS,PFH302,30% Down 70% Feather,Normal,$31.50,,
65X40CM,INSERTS,PFH303,30% Down 70% Feather,Firm Fill,$34.10,,
65X40CM,INSERTS,PFH304,30% Down 70% Feather,Extra Firm Fill,$36.70,,
65X40CM,INSERTS,PFH305,50% Down 50% Feather,Normal,$50.00,,
65X40CM,INSERTS,PFH306,50% Down 50% Feather,Firm Fill,$52.60,,
65X40CM,INSERTS,PFH307,50% Down 50% Feather,Extra Firm Fill,$55.20,,
65X40CM,INSERTS,PFH308,80% Down 20% Feather,Normal,$61.00,,
65X40CM,INSERTS,PFH309,80% Down 20% Feather,Firm Fill,$63.60,,
65X40CM,INSERTS,PFH310,80% Down 20% Feather,Extra Firm Fill,$66.20,,
65X65CM,INSERTS,PFH311,100% Feather,Normal,$22.00,,
65X65CM,INSERTS,PFH312,100% Feather,Firm Fill,$22.60,,
65X65CM,INSERTS,PFH313,100% Feather,Extra Firm Fill,$23.20,,
65X65CM,INSERTS,PFH314,Duck Feather - Foam,Normal,$28.75,,
65X65CM,INSERTS,PFH315,Duck Feather - Foam,Firm Fill,$29.35,,
65X65CM,INSERTS,PFH316,Duck Feather - Foam,Extra Firm Fill,$29.95,,
65X65CM,INSERTS,PFH317,Duck Feather - Fibre,Normal,$28.75,,
65X65CM,INSERTS,PFH318,Duck Feather - Fibre,Firm Fill,$29.35,,
65X65CM,INSERTS,PFH319,Duck Feather - Fibre,Extra Firm Fill,$29.95,,
65X65CM,INSERTS,PFH320,100% Polyester,Normal,$28.75,,
65X65CM,INSERTS,PFH321,100% Polyester,Firm Fill,$29.35,,
65X65CM,INSERTS,PFH322,100% Polyester,Extra Firm Fill,$29.95,,
65X65CM,INSERTS,PFH323,30% Down 70% Feather,Normal,$54.60,,
65X65CM,INSERTS,PFH324,30% Down 70% Feather,Firm Fill,$57.20,,
65X65CM,INSERTS,PFH325,30% Down 70% Feather,Extra Firm Fill,$59.80,,
65X65CM,INSERTS,PFH326,50% Down 50% Feather,Normal,$76.50,,
65X65CM,INSERTS,PFH327,50% Down 50% Feather,Firm Fill,$79.10,,
65X65CM,INSERTS,PFH328,50% Down 50% Feather,Extra Firm Fill,$81.70,,
65X65CM,INSERTS,PFH329,80% Down 20% Feather,Normal,$91.00,,
65X65CM,INSERTS,PFH330,80% Down 20% Feather,Firm Fill,$93.60,,
65X65CM,INSERTS,PFH331,80% Down 20% Feather,Extra Firm Fill,$96.20,,
SINGLE 140X214CM - MATTRESS TOPPER FILLED,MATTRESS TOPPER FILLED,PFH332,Duck,,$82.00,,
SINGLE 140X214CM - MATTRESS TOPPER FILLED,MATTRESS TOPPER FILLED,PFH333,Goose,,$102.50,,
DOUBLE 184X214CM - MATTRESS TOPPER FILLED,MATTRESS TOPPER FILLED,PFH334,Duck,,$115.50,,
DOUBLE 184X214CM - MATTRESS TOPPER FILLED,MATTRESS TOPPER FILLED,PFH335,Goose,,$126.50,,
