Product Name,Category,Sku,Filling,Weight,PRICES,Unnamed: 6
35 x 125cm duck feather,CUSTOM INSERTS,CUSTINNERS - 13,Duck Feather,Normal,50.00,
35 x 125cm duck feather,CUSTOM INSERTS,CUSTINNERS - 13,Duck Feather,Firm Fill,50.60,
35 x 125cm duck feather,CUSTOM INSERTS,CUSTINNERS - 13,Duck Feather,Extra Firm Fill,51.20,
35 x 130cm duck feather,CUSTOM INSERTS,CUSTINNERS - 14,Duck Feather,Normal,55.75,
35 x 130cm duck feather,CUSTOM INSERTS,CUSTINNERS - 14,Duck Feather,Firm Fill,56.35,
35 x 130cm duck feather,CUSTOM INSERTS,CUSTINNERS - 14,Duck Feather,Extra Firm Fill,56.95,
35 x 35cm duck feather,CUSTOM INSERTS,CUSTINNERS - 15,Duck Feather,Normal,9.20,
35 x 35cm duck feather,CUSTOM INSERTS,CUSTINNERS - 15,Duck Feather,Firm Fill,9.80,
35 x 35cm duck feather,CUSTOM INSERTS,CUSTINNERS - 15,Duck Feather,Extra Firm Fill,10.40,
35 x 50cm duck feather,CUSTOM INSERTS,CUSTINNERS - 16,Duck Feather,Normal,14.50,
35 x 50cm duck feather,CUSTOM INSERTS,CUSTINNERS - 16,Duck Feather,Firm Fill,15.10,
35 x 50cm duck feather,CUSTOM INSERTS,CUSTINNERS - 16,Duck Feather,Extra Firm Fill,15.70,
35 x 55cm duck feather,CUSTOM INSERTS,CUSTINNERS - 17,Duck Feather,Normal,14.50,
35 x 55cm duck feather,CUSTOM INSERTS,CUSTINNERS - 17,Duck Feather,Firm Fill,15.10,
35 x 55cm duck feather,CUSTOM INSERTS,CUSTINNERS - 17,Duck Feather,Extra Firm Fill,15.70,
35 x 65cm duck feather,CUSTOM INSERTS,CUSTINNERS - 18,Duck Feather,Normal,15.50,
35 x 65cm duck feather,CUSTOM INSERTS,CUSTINNERS - 18,Duck Feather,Firm Fill,16.10,
35 x 65cm duck feather,CUSTOM INSERTS,CUSTINNERS - 18,Duck Feather,Extra Firm Fill,16.70,
35 x 80cm duck feather,CUSTOM INSERTS,CUSTINNERS - 19,Duck Feather,Normal,17.65,
35 x 80cm duck feather,CUSTOM INSERTS,CUSTINNERS - 19,Duck Feather,Firm Fill,18.25,
35 x 80cm duck feather,CUSTOM INSERTS,CUSTINNERS - 19,Duck Feather,Extra Firm Fill,18.85,
35 x 90cm duck feather,CUSTOM INSERTS,CUSTINNERS - 20,Duck Feather,Normal,20.00,
35 x 90cm duck feather,CUSTOM INSERTS,CUSTINNERS - 20,Duck Feather,Firm Fill,20.60,
35 x 90cm duck feather,CUSTOM INSERTS,CUSTINNERS - 20,Duck Feather,Extra Firm Fill,21.20,
35 x 95cm duck feather,CUSTOM INSERTS,CUSTINNERS - 21,Duck Feather,Normal,26.00,
35 x 95cm duck feather,CUSTOM INSERTS,CUSTINNERS - 21,Duck Feather,Firm Fill,26.60,
35 x 95cm duck feather,CUSTOM INSERTS,CUSTINNERS - 21,Duck Feather,Extra Firm Fill,27.20,
39 x 39cm duck feather,CUSTOM INSERTS,CUSTINNERS - 22,Duck Feather,Normal,13.20,
39 x 39cm duck feather,CUSTOM INSERTS,CUSTINNERS - 22,Duck Feather,Firm Fill,13.80,
39 x 39cm duck feather,CUSTOM INSERTS,CUSTINNERS - 22,Duck Feather,Extra Firm Fill,14.40,
39 x 59cm duck feather,CUSTOM INSERTS,CUSTINNERS - 23,Duck Feather,Normal,15.50,
39 x 59cm duck feather,CUSTOM INSERTS,CUSTINNERS - 23,Duck Feather,Firm Fill,16.10,
39 x 59cm duck feather,CUSTOM INSERTS,CUSTINNERS - 23,Duck Feather,Extra Firm Fill,16.70,
39 x 70cm duck feather,CUSTOM INSERTS,CUSTINNERS - 24,Duck Feather,Normal,19.00,
39 x 70cm duck feather,CUSTOM INSERTS,CUSTINNERS - 24,Duck Feather,Firm Fill,19.60,
39 x 70cm duck feather,CUSTOM INSERTS,CUSTINNERS - 24,Duck Feather,Extra Firm Fill,20.20,
39 x 79cm duck feather,CUSTOM INSERTS,CUSTINNERS - 25,Duck Feather,Normal,19.00,
39 x 79cm duck feather,CUSTOM INSERTS,CUSTINNERS - 25,Duck Feather,Firm Fill,19.60,
39 x 79cm duck feather,CUSTOM INSERTS,CUSTINNERS - 25,Duck Feather,Extra Firm Fill,20.20,
40 x 100cm duck feather,CUSTOM INSERTS,CUSTINNERS - 25B,Duck Feather,Normal,29.30,
40 x 100cm duck feather,CUSTOM INSERTS,CUSTINNERS - 25B,Duck Feather,Firm Fill,29.90,
40 x 100cm duck feather,CUSTOM INSERTS,CUSTINNERS - 25B,Duck Feather,Extra Firm Fill,30.50,
40 x 110cm duck feather,CUSTOM INSERTS,CUSTINNERS - 26,Duck Feather,Normal,44.25,
40 x 110cm duck feather,CUSTOM INSERTS,CUSTINNERS - 26,Duck Feather,Firm Fill,44.85,
40 x 110cm duck feather,CUSTOM INSERTS,CUSTINNERS - 26,Duck Feather,Extra Firm Fill,45.45,
40 x 120cm duck feather,CUSTOM INSERTS,CUSTINNERS - 27,Duck Feather,Normal,50.00,
