Product Name,SKU,Category,Filling,Weight,Customer Price
KING - MATTRESS TOPPER FILLED,MATT-074,MATTRESS TOPPER FILLED,Duck,,
KING - MATTRESS TOPPER FILLED,MATT-074,MATTRESS TOPPER FILLED,Goose,,
DOUBLE 184X214CM - MICROSOFT,MICR-090,MICROSOFT,,,
KING 244X214CM - MICROSOFT,MICR-092,MICROSOFT,,,
QUEEN 214X214CM - MICROSOFT,MICR-091,MICROSOFT,,,
SINGLE 140X214CM - MICROSOFT,MICR-089,MICROSOFT,,,
45X70CM - (48X73CM) - PIPED PILLOWS,PIPE-041,PIPED PILLOWS,100% Feather,,
45X70CM - (48X73CM) - PIPED PILLOWS,PIPE-041,PIPED PILLOWS,30% Down 70% Feather,,
45X70CM - (48X73CM) - PIPED PILLOWS,PIPE-041,PIPED PILLOWS,50% Down 50% Feather,,
45X70CM - (48X73CM) - PIPED PILLOWS,PIPE-041,PIPED PILLOWS,80% Down 20% Feather,,
50X80CM - (53X83CM) - PIPED PILLOWS,PIPE-043,PIPED PILLOWS,100% Feather,,
50X80CM - (53X83CM) - PIPED PILLOWS,PIPE-043,PIPED PILLOWS,30% Down 70% Feather,,
50X80CM - (53X83CM) - PIPED PILLOWS,PIPE-043,PIPED PILLOWS,50% Down 50% Feather,,
50X80CM - (53X83CM) - PIPED PILLOWS,PIPE-043,PIPED PILLOWS,80% Down 20% Feather,,
50X90CM - (53X93CM) - PIPED PILLOWS,PIPE-044,PIPED PILLOWS,100% Feather,,
50X90CM - (53X93CM) - PIPED PILLOWS,PIPE-044,PIPED PILLOWS,30% Down 70% Feather,,
50X90CM - (53X93CM) - PIPED PILLOWS,PIPE-044,PIPED PILLOWS,50% Down 50% Feather,,
50X90CM - (53X93CM) - PIPED PILLOWS,PIPE-044,PIPED PILLOWS,80% Down 20% Feather,,
65 X 65CM (68X68CM) - PIPED PILLOWS,PIPE-042,PIPED PILLOWS,100% Feather,,
65 X 65CM (68X68CM) - PIPED PILLOWS,PIPE-042,PIPED PILLOWS,30% Down 70% Feather,,
65 X 65CM (68X68CM) - PIPED PILLOWS,PIPE-042,PIPED PILLOWS,50% Down 50% Feather,,
65 X 65CM (68X68CM) - PIPED PILLOWS,PIPE-042,PIPED PILLOWS,80% Down 20% Feather,,
Double/Queen 230 x 240cms 450gms - SILVER BLANKET,SILV-102,SILVER BLANKET,,,
King/Super King 270 x 240cms 535 gms - SILVER BLANKET,SILV-103,SILVER BLANKET,,,
Single/ King Single 180 x 230gms 300gms - SILVER BLANKET,SILV-101,SILVER BLANKET,,,
Double/Queen 230 x 240cms 450gms - KHAKI BLANKET,KHAK-105,KHAKI BLANKET,,,
King/Super King 270 x 240cms 535 gms - KHAKI BLANKET,KHAK-106,KHAKI BLANKET,,,
Single/ King Single 180 x 230gms 300gms - KHAKI BLANKET,KHAK-104,KHAKI BLANKET,,,
45X70CM - (48X73CM) - STRIP PILLOW,STRI-080,STRIP PILLOW,Hungarian,,
50X90CM - (53X93CM) - STRIP PILLOW,STRI-081,STRIP PILLOW,Hungarian,,
SINGLE - STRIPPED QUILT,STRI-078,STRIPPED QUILT,Hungarian,,
DOUBLE - STRIPPED QUILT,STRI-075,STRIPPED QUILT,Hungarian,,
QUEEN - STRIPPED QUILT,STRI-077,STRIPPED QUILT,Hungarian,,
KING - STRIPPED QUILT,STRI-076,STRIPPED QUILT,Hungarian,,
SUPER KING - STRIPPED QUILT,STRI-079,STRIPPED QUILT,Hungarian,,
